sql_prompt,sql
unique combination security incident type corresponding status incidentresponses table excluding record progress status,"SELECT incident, status FROM incident_responses WHERE status != 'In Progress' GROUP BY incident, status;"
identify hotel highest virtual tour engagement apac region q1 2022,"SELECT hotel_name, q1_2022_views FROM virtual_tour_stats WHERE region = 'APAC' ORDER BY q1_2022_views DESC LIMIT 5;"
total number security incident occurred region past year,"SELECT region, SUM(incidents) as total_incidents FROM incident_region WHERE incident_date > DATE(NOW()) - INTERVAL 365 DATE GROUP BY region;"
average age patient received flu shot california grouped county,"SELECT v.county, AVG(p.age) as avg_age FROM vaccinations v INNER JOIN patients p ON v.patient_id = p.patient_id WHERE vaccine = 'Flu' AND county = 'California' GROUP BY v.county;"
number economic diversification initiative tourism total budget last 3 year,"SELECT category, start_year, COUNT(*), SUM(budget) FROM economic_diversification WHERE start_year >= 2019 GROUP BY category, start_year;"
count number unique user engaged virtual tour january,SELECT COUNT(DISTINCT user_id) FROM user_activity WHERE EXTRACT(MONTH FROM activity_date) = 1;
list top 3 marine specie highest population growth rate,"SELECT name, growth_rate FROM (SELECT name, growth_rate, ROW_NUMBER() OVER (ORDER BY growth_rate DESC) rn FROM marine_species) t WHERE rn <= 3;"
list space mission astronaut u canada,"SELECT mission_name FROM SpaceMissions WHERE astronaut_nationality IN ('US', 'Canada') GROUP BY mission_name HAVING COUNT(DISTINCT astronaut_nationality) = 2;"
percentage ai adoption hospitality industry across different region 2022,"SELECT region, adoption_percentage FROM ai_adoption WHERE adoption_date = '2022-01-01';"
total mass kg spacecraft manufactured spacex,SELECT SUM(mass) FROM spacecraft WHERE manufacturer = 'SpaceX';
percentage technology social good project address education,SELECT COUNT(*) * 100.0 / (SELECT COUNT(*) FROM social_good_education) AS percentage FROM social_good_education WHERE project_education = 'yes';
top 2 contributor digital divide 2020,SELECT contributor FROM Digital_Divide WHERE year = 2020 ORDER BY impact DESC LIMIT 2;
average cost rural infrastructure project province punjab pakistan project type year,"SELECT project_type, year, AVG(cost) as avg_cost FROM projects_pakistan WHERE province = 'Punjab' GROUP BY project_type, year;"
